13:40:30.360 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
13:40:30.367 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
13:40:30.470 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
13:40:30.487 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_26_2021_13_40_30/Report/02_26_2021_13_40_30
13:40:30.654 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
13:40:30.658 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
13:40:38.393 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Chrome Browser is launched
13:40:39.661 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Expected text : Log in. is matching with the : Log in. text in the application 
13:40:39.662 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Log In page is displayed
13:40:39.662 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Enter the value into User Id text box
13:40:39.948 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - 40136083 typed into User Id text box
13:40:39.949 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Enter the value into Password text box
13:40:40.191 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - GIM@123# typed into Password text box
13:40:40.192 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Validate Login button is clickable
13:40:41.577 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Clicked on : Login button
13:40:42.327 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - GEO HR-Log in is successfull
13:40:42.468 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
13:40:42.468 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - HR Partner Manual popup is displayed
13:40:42.469 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Validate Close button on HCL Banner is clickable
13:40:42.707 [main] INFO  com.hcl.gim.testscripts.ikhaya.TYSS_GIM_ISB_014 - Clicked on : Close button on HCL Banner
